COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
1300805,DILMA VANA ROUSSEFF,9273
1300839,DILMA VANA ROUSSEFF,3099
1300904,DILMA VANA ROUSSEFF,2240
1301001,DILMA VANA ROUSSEFF,6475
1301100,DILMA VANA ROUSSEFF,9548
1301159,DILMA VANA ROUSSEFF,8026
1301209,DILMA VANA ROUSSEFF,21146
1301308,DILMA VANA ROUSSEFF,6000
1301407,DILMA VANA ROUSSEFF,8654
1301506,DILMA VANA ROUSSEFF,3725
1301605,DILMA VANA ROUSSEFF,6337
1301654,DILMA VANA ROUSSEFF,2446
1301704,DILMA VANA ROUSSEFF,12837
1301803,DILMA VANA ROUSSEFF,2559
1301852,DILMA VANA ROUSSEFF,15690
1301902,DILMA VANA ROUSSEFF,30543
1301951,DILMA VANA ROUSSEFF,2129
1302009,DILMA VANA ROUSSEFF,3124
1302108,DILMA VANA ROUSSEFF,1545
1302207,DILMA VANA ROUSSEFF,1502
1302306,DILMA VANA ROUSSEFF,4201
1302405,DILMA VANA ROUSSEFF,9114
1302504,DILMA VANA ROUSSEFF,31024
1302553,DILMA VANA ROUSSEFF,5903
1302603,DILMA VANA ROUSSEFF,679131
1302702,DILMA VANA ROUSSEFF,10475
1302801,DILMA VANA ROUSSEFF,2415
1302900,DILMA VANA ROUSSEFF,15469
1303007,DILMA VANA ROUSSEFF,5594
1303106,DILMA VANA ROUSSEFF,7220
1303205,DILMA VANA ROUSSEFF,3718
1303304,DILMA VANA ROUSSEFF,5242
1303403,DILMA VANA ROUSSEFF,32747
1303502,DILMA VANA ROUSSEFF,3747
1303536,DILMA VANA ROUSSEFF,9060
1303569,DILMA VANA ROUSSEFF,6775
1303601,DILMA VANA ROUSSEFF,1933
1303700,DILMA VANA ROUSSEFF,5120
1303809,DILMA VANA ROUSSEFF,11396
1303908,DILMA VANA ROUSSEFF,7228
1303957,DILMA VANA ROUSSEFF,2282
1304005,DILMA VANA ROUSSEFF,3354
1304062,DILMA VANA ROUSSEFF,14205
1304104,DILMA VANA ROUSSEFF,4185
1304203,DILMA VANA ROUSSEFF,19223
1304237,DILMA VANA ROUSSEFF,3681
1304260,DILMA VANA ROUSSEFF,3131
1304302,DILMA VANA ROUSSEFF,5293
1304401,DILMA VANA ROUSSEFF,5209
1600055,DILMA VANA ROUSSEFF,1418
1600105,DILMA VANA ROUSSEFF,3099
1600154,DILMA VANA ROUSSEFF,2638
1600204,DILMA VANA ROUSSEFF,3212
1600212,DILMA VANA ROUSSEFF,1468
1600238,DILMA VANA ROUSSEFF,1922
1600253,DILMA VANA ROUSSEFF,1906
1600279,DILMA VANA ROUSSEFF,12452
1600303,DILMA VANA ROUSSEFF,112522
1600402,DILMA VANA ROUSSEFF,6140
1600501,DILMA VANA ROUSSEFF,5934
1600535,DILMA VANA ROUSSEFF,5563
1600550,DILMA VANA ROUSSEFF,1348
1600600,DILMA VANA ROUSSEFF,31482
1600709,DILMA VANA ROUSSEFF,3228
1600808,DILMA VANA ROUSSEFF,4312
2900108,DILMA VANA ROUSSEFF,2943
2900207,DILMA VANA ROUSSEFF,7833
2900306,DILMA VANA ROUSSEFF,4953
2900355,DILMA VANA ROUSSEFF,5700
2900405,DILMA VANA ROUSSEFF,5623
2900504,DILMA VANA ROUSSEFF,4056
2900603,DILMA VANA ROUSSEFF,2079
2900702,DILMA VANA ROUSSEFF,46823
2900801,DILMA VANA ROUSSEFF,7630
2900900,DILMA VANA ROUSSEFF,2153
2901007,DILMA VANA ROUSSEFF,10402
2901106,DILMA VANA ROUSSEFF,8550
2901155,DILMA VANA ROUSSEFF,5728
2901205,DILMA VANA ROUSSEFF,7911
2901304,DILMA VANA ROUSSEFF,5336
2901353,DILMA VANA ROUSSEFF,7353
2901403,DILMA VANA ROUSSEFF,6620
2901502,DILMA VANA ROUSSEFF,4721
2901601,DILMA VANA ROUSSEFF,5198
2901700,DILMA VANA ROUSSEFF,5886
2901809,DILMA VANA ROUSSEFF,3354
2901908,DILMA VANA ROUSSEFF,5754
2901957,DILMA VANA ROUSSEFF,2115
2902005,DILMA VANA ROUSSEFF,6079
2902054,DILMA VANA ROUSSEFF,4994
2902104,DILMA VANA ROUSSEFF,19338
2902203,DILMA VANA ROUSSEFF,4445
2902252,DILMA VANA ROUSSEFF,2678
2902302,DILMA VANA ROUSSEFF,3497
2902401,DILMA VANA ROUSSEFF,4825
2902500,DILMA VANA ROUSSEFF,5959
2902609,DILMA VANA ROUSSEFF,5720
2902658,DILMA VANA ROUSSEFF,4668
2902708,DILMA VANA ROUSSEFF,15566
2902807,DILMA VANA ROUSSEFF,8514
2902906,DILMA VANA ROUSSEFF,8894
2903003,DILMA VANA ROUSSEFF,6011
2903102,DILMA VANA ROUSSEFF,1986
2903201,DILMA VANA ROUSSEFF,42765
2903235,DILMA VANA ROUSSEFF,4950
2903276,DILMA VANA ROUSSEFF,6789
2903300,DILMA VANA ROUSSEFF,2249
2903409,DILMA VANA ROUSSEFF,6143
2903508,DILMA VANA ROUSSEFF,5365
2903607,DILMA VANA ROUSSEFF,6718
2903706,DILMA VANA ROUSSEFF,5912
2903805,DILMA VANA ROUSSEFF,6130
2903904,DILMA VANA ROUSSEFF,21021
2903953,DILMA VANA ROUSSEFF,4233
2904001,DILMA VANA ROUSSEFF,4336
2904050,DILMA VANA ROUSSEFF,4281
2904100,DILMA VANA ROUSSEFF,8630
2904209,DILMA VANA ROUSSEFF,4569
2904308,DILMA VANA ROUSSEFF,5238
2904407,DILMA VANA ROUSSEFF,3791
2904506,DILMA VANA ROUSSEFF,3875
2904605,DILMA VANA ROUSSEFF,25707
2904704,DILMA VANA ROUSSEFF,4083
2904753,DILMA VANA ROUSSEFF,5500
2904803,DILMA VANA ROUSSEFF,2951
2904852,DILMA VANA ROUSSEFF,5485
2904902,DILMA VANA ROUSSEFF,12832
2905008,DILMA VANA ROUSSEFF,6990
2905107,DILMA VANA ROUSSEFF,4280
2905156,DILMA VANA ROUSSEFF,4216
2905206,DILMA VANA ROUSSEFF,18069
2905305,DILMA VANA ROUSSEFF,5096
2905404,DILMA VANA ROUSSEFF,4208
2905503,DILMA VANA ROUSSEFF,3744
2905602,DILMA VANA ROUSSEFF,8441
2905701,DILMA VANA ROUSSEFF,67142
2905800,DILMA VANA ROUSSEFF,6489
2905909,DILMA VANA ROUSSEFF,9300
2906006,DILMA VANA ROUSSEFF,20615
2906105,DILMA VANA ROUSSEFF,3911
2906204,DILMA VANA ROUSSEFF,8868
2906303,DILMA VANA ROUSSEFF,9884
2906402,DILMA VANA ROUSSEFF,3757
2906501,DILMA VANA ROUSSEFF,35241
2906600,DILMA VANA ROUSSEFF,5910
2906709,DILMA VANA ROUSSEFF,8649
2906808,DILMA VANA ROUSSEFF,14085
2906824,DILMA VANA ROUSSEFF,6454
2906857,DILMA VANA ROUSSEFF,4291
2906873,DILMA VANA ROUSSEFF,8249
2906899,DILMA VANA ROUSSEFF,3213
2906907,DILMA VANA ROUSSEFF,6442
2907004,DILMA VANA ROUSSEFF,3467
2907103,DILMA VANA ROUSSEFF,7890
2907202,DILMA VANA ROUSSEFF,28341
2907301,DILMA VANA ROUSSEFF,11397
2907400,DILMA VANA ROUSSEFF,2155
2907509,DILMA VANA ROUSSEFF,23653
2907558,DILMA VANA ROUSSEFF,3701
2907608,DILMA VANA ROUSSEFF,6619
2907707,DILMA VANA ROUSSEFF,4618
2907806,DILMA VANA ROUSSEFF,11857
2907905,DILMA VANA ROUSSEFF,4824
2908002,DILMA VANA ROUSSEFF,7620
2908101,DILMA VANA ROUSSEFF,6026
2908200,DILMA VANA ROUSSEFF,6566
2908309,DILMA VANA ROUSSEFF,7348
2908408,DILMA VANA ROUSSEFF,21646
2908507,DILMA VANA ROUSSEFF,9525
2908606,DILMA VANA ROUSSEFF,7415
2908705,DILMA VANA ROUSSEFF,6807
2908804,DILMA VANA ROUSSEFF,1606
2908903,DILMA VANA ROUSSEFF,10386
2909000,DILMA VANA ROUSSEFF,2327
2909109,DILMA VANA ROUSSEFF,6168
2909208,DILMA VANA ROUSSEFF,5989
