COD_MUN_IBGE,NOME_CANDIDATO,pct_voto
2708600,DILMA VANA ROUSSEFF,33.343753663397294
2708709,DILMA VANA ROUSSEFF,44.35741224252973
2708808,DILMA VANA ROUSSEFF,67.87471738263066
2708907,DILMA VANA ROUSSEFF,46.393492940454266
2708956,DILMA VANA ROUSSEFF,78.68975903614458
2709004,DILMA VANA ROUSSEFF,73.53135313531352
2709103,DILMA VANA ROUSSEFF,68.71310507674144
2709152,DILMA VANA ROUSSEFF,47.33608846196805
2709202,DILMA VANA ROUSSEFF,72.17931813900923
2709301,DILMA VANA ROUSSEFF,60.45087259712947
2709400,DILMA VANA ROUSSEFF,63.136250775915585
1300029,DILMA VANA ROUSSEFF,91.36344625679632
1300060,DILMA VANA ROUSSEFF,84.13685847589424
1300086,DILMA VANA ROUSSEFF,81.41176470588235
1300102,DILMA VANA ROUSSEFF,80.84036992360274
1300144,DILMA VANA ROUSSEFF,72.6159230096238
1300201,DILMA VANA ROUSSEFF,61.080377481288636
1300300,DILMA VANA ROUSSEFF,88.8148667601683
1300409,DILMA VANA ROUSSEFF,74.34733257661748
1300508,DILMA VANA ROUSSEFF,91.56230099766503
1300607,DILMA VANA ROUSSEFF,89.08210052772732
1300631,DILMA VANA ROUSSEFF,78.64955826672276
1300680,DILMA VANA ROUSSEFF,89.87956138774042
1300706,DILMA VANA ROUSSEFF,52.815787024108715
1300805,DILMA VANA ROUSSEFF,90.46829268292683
1300839,DILMA VANA ROUSSEFF,91.49689991142604
1300904,DILMA VANA ROUSSEFF,65.90173580464842
1301001,DILMA VANA ROUSSEFF,79.60413080895009
1301100,DILMA VANA ROUSSEFF,91.49099271751629
1301159,DILMA VANA ROUSSEFF,91.29791832556023
1301209,DILMA VANA ROUSSEFF,85.66335831476604
1301308,DILMA VANA ROUSSEFF,81.94482381862879
1301407,DILMA VANA ROUSSEFF,89.42854190348248
1301506,DILMA VANA ROUSSEFF,73.89406863717515
1301605,DILMA VANA ROUSSEFF,86.96308494579388
1301654,DILMA VANA ROUSSEFF,61.845764854614416
1301704,DILMA VANA ROUSSEFF,79.98629198080877
1301803,DILMA VANA ROUSSEFF,64.70290771175728
1301852,DILMA VANA ROUSSEFF,90.55754357612837
1301902,DILMA VANA ROUSSEFF,81.9506305339415
1301951,DILMA VANA ROUSSEFF,83.39208773991382
1302009,DILMA VANA ROUSSEFF,84.56957227937195
1302108,DILMA VANA ROUSSEFF,85.50083010514665
1302207,DILMA VANA ROUSSEFF,50.18376211159372
1302306,DILMA VANA ROUSSEFF,80.80400076937873
1302405,DILMA VANA ROUSSEFF,81.86472648881703
1302504,DILMA VANA ROUSSEFF,84.12147505422993
1302553,DILMA VANA ROUSSEFF,93.21016895626086
1302603,DILMA VANA ROUSSEFF,79.10651343852432
1302702,DILMA VANA ROUSSEFF,73.15454989873594
1302801,DILMA VANA ROUSSEFF,81.69824086603519
1302900,DILMA VANA ROUSSEFF,91.397341211226
1303007,DILMA VANA ROUSSEFF,82.28890850250073
1303106,DILMA VANA ROUSSEFF,89.54483442887263
1303205,DILMA VANA ROUSSEFF,82.64058679706602
1303304,DILMA VANA ROUSSEFF,86.9608493696085
1303403,DILMA VANA ROUSSEFF,82.3678849007722
1303502,DILMA VANA ROUSSEFF,77.16227347611203
1303536,DILMA VANA ROUSSEFF,85.16638465877044
1303569,DILMA VANA ROUSSEFF,83.98413288707079
1303601,DILMA VANA ROUSSEFF,61.69805298436004
1303700,DILMA VANA ROUSSEFF,69.82135551615983
1303809,DILMA VANA ROUSSEFF,82.645587062151
1303908,DILMA VANA ROUSSEFF,77.4124451108493
1303957,DILMA VANA ROUSSEFF,74.23552374756018
1304005,DILMA VANA ROUSSEFF,90.722207195023
1304062,DILMA VANA ROUSSEFF,81.77422140348858
1304104,DILMA VANA ROUSSEFF,76.2572886297376
1304203,DILMA VANA ROUSSEFF,88.63018119784223
1304237,DILMA VANA ROUSSEFF,77.80596068484465
1304260,DILMA VANA ROUSSEFF,89.15148063781321
1304302,DILMA VANA ROUSSEFF,89.56006768189509
1304401,DILMA VANA ROUSSEFF,88.30310222071537
1600055,DILMA VANA ROUSSEFF,63.64452423698385
1600105,DILMA VANA ROUSSEFF,77.90346907993967
1600154,DILMA VANA ROUSSEFF,73.60491071428571
1600204,DILMA VANA ROUSSEFF,72.57117035698147
1600212,DILMA VANA ROUSSEFF,65.12866015971606
1600238,DILMA VANA ROUSSEFF,65.93481989708405
1600253,DILMA VANA ROUSSEFF,72.36142748671223
1600279,DILMA VANA ROUSSEFF,70.48966883668271
1600303,DILMA VANA ROUSSEFF,59.2426843008624
1600402,DILMA VANA ROUSSEFF,73.63876229311586
1600501,DILMA VANA ROUSSEFF,69.66424043202629
1600535,DILMA VANA ROUSSEFF,74.84192116238397
1600550,DILMA VANA ROUSSEFF,76.67804323094425
1600600,DILMA VANA ROUSSEFF,62.43455497382199
1600709,DILMA VANA ROUSSEFF,66.21538461538462
1600808,DILMA VANA ROUSSEFF,71.3907284768212
2900108,DILMA VANA ROUSSEFF,62.844330557335034
2900207,DILMA VANA ROUSSEFF,90.54444572881748
2900306,DILMA VANA ROUSSEFF,69.56460674157303
2900355,DILMA VANA ROUSSEFF,72.51908396946564
2900405,DILMA VANA ROUSSEFF,74.22122492080253
2900504,DILMA VANA ROUSSEFF,75.16679021497406
2900603,DILMA VANA ROUSSEFF,79.1095890410959
2900702,DILMA VANA ROUSSEFF,66.6339353057536
2900801,DILMA VANA ROUSSEFF,77.50126968004064
2900900,DILMA VANA ROUSSEFF,66.20541205412054
2901007,DILMA VANA ROUSSEFF,62.32101132346774
2901106,DILMA VANA ROUSSEFF,70.73715562174236
2901155,DILMA VANA ROUSSEFF,75.60718057022176
2901205,DILMA VANA ROUSSEFF,65.94698232744248
2901304,DILMA VANA ROUSSEFF,86.39896373056995
2901353,DILMA VANA ROUSSEFF,86.69968164131589
2901403,DILMA VANA ROUSSEFF,78.30612727702862
2901502,DILMA VANA ROUSSEFF,82.62163108155409
2901601,DILMA VANA ROUSSEFF,76.68928887577457
2901700,DILMA VANA ROUSSEFF,80.85164835164835
2901809,DILMA VANA ROUSSEFF,66.11472501478414
2901908,DILMA VANA ROUSSEFF,69.05904944791168
2901957,DILMA VANA ROUSSEFF,57.13128038897894
2902005,DILMA VANA ROUSSEFF,78.36792574448886
2902054,DILMA VANA ROUSSEFF,76.6891891891892
2902104,DILMA VANA ROUSSEFF,84.00521285838401
2902203,DILMA VANA ROUSSEFF,79.05032900586876
2902252,DILMA VANA ROUSSEFF,67.78030878258669
2902302,DILMA VANA ROUSSEFF,69.7030097667929
2902401,DILMA VANA ROUSSEFF,79.95028997514498
2902500,DILMA VANA ROUSSEFF,81.22955288985824
2902609,DILMA VANA ROUSSEFF,57.81281584798869
2902658,DILMA VANA ROUSSEFF,75.30246814002258
2902708,DILMA VANA ROUSSEFF,75.40935955818235
2902807,DILMA VANA ROUSSEFF,72.80034202650705
2902906,DILMA VANA ROUSSEFF,56.01108382139933
2903003,DILMA VANA ROUSSEFF,83.07075732448867
2903102,DILMA VANA ROUSSEFF,73.2571007008484
2903201,DILMA VANA ROUSSEFF,72.39102835378756
2903235,DILMA VANA ROUSSEFF,75.06824385805277
2903276,DILMA VANA ROUSSEFF,82.47084548104957
2903300,DILMA VANA ROUSSEFF,65.26407428903076
2903409,DILMA VANA ROUSSEFF,67.22477566207048
2903508,DILMA VANA ROUSSEFF,62.030292519366405
2903607,DILMA VANA ROUSSEFF,87.28075873717033
2903706,DILMA VANA ROUSSEFF,82.85914505956552
2903805,DILMA VANA ROUSSEFF,72.14310933270566
2903904,DILMA VANA ROUSSEFF,75.95115077501174
2903953,DILMA VANA ROUSSEFF,86.31729200652528
2904001,DILMA VANA ROUSSEFF,73.11973018549747
2904050,DILMA VANA ROUSSEFF,59.22800221361373
2904100,DILMA VANA ROUSSEFF,86.05903470283207
2904209,DILMA VANA ROUSSEFF,80.05957595934817
2904308,DILMA VANA ROUSSEFF,75.26943526368731
2904407,DILMA VANA ROUSSEFF,75.53297469615461
2904506,DILMA VANA ROUSSEFF,64.48660342819105
2904605,DILMA VANA ROUSSEFF,77.40507663123664
2904704,DILMA VANA ROUSSEFF,43.552
2904753,DILMA VANA ROUSSEFF,63.466420493884144
2904803,DILMA VANA ROUSSEFF,71.3318830070099
2904852,DILMA VANA ROUSSEFF,67.90047041346868
2904902,DILMA VANA ROUSSEFF,78.690133071687
2905008,DILMA VANA ROUSSEFF,64.6503884572697
2905107,DILMA VANA ROUSSEFF,78.56093979441997
2905156,DILMA VANA ROUSSEFF,81.62633107454018
2905206,DILMA VANA ROUSSEFF,72.22399872092093
2905305,DILMA VANA ROUSSEFF,64.34343434343435
2905404,DILMA VANA ROUSSEFF,64.36219027225451
2905503,DILMA VANA ROUSSEFF,77.11637487126673
2905602,DILMA VANA ROUSSEFF,69.6739579034255
2905701,DILMA VANA ROUSSEFF,67.27790136074871
2905800,DILMA VANA ROUSSEFF,45.49533758676295
2905909,DILMA VANA ROUSSEFF,75.1818916734034
2906006,DILMA VANA ROUSSEFF,65.97222222222221
2906105,DILMA VANA ROUSSEFF,73.21228004492698
2906204,DILMA VANA ROUSSEFF,77.01259227095093
2906303,DILMA VANA ROUSSEFF,64.67739824630284
2906402,DILMA VANA ROUSSEFF,77.36820428336078
2906501,DILMA VANA ROUSSEFF,86.22495167722836
2906600,DILMA VANA ROUSSEFF,80.88134665389353
2906709,DILMA VANA ROUSSEFF,67.72905246671887
2906808,DILMA VANA ROUSSEFF,88.70764579921905
2906824,DILMA VANA ROUSSEFF,86.2718887849218
2906857,DILMA VANA ROUSSEFF,72.03290246768508
2906873,DILMA VANA ROUSSEFF,62.57775754817175
2906899,DILMA VANA ROUSSEFF,63.27294210319023
2906907,DILMA VANA ROUSSEFF,74.58608313071669
2907004,DILMA VANA ROUSSEFF,83.5019267822736
2907103,DILMA VANA ROUSSEFF,59.31438881371223
2907202,DILMA VANA ROUSSEFF,84.37332539446264
2907301,DILMA VANA ROUSSEFF,79.36629526462396
2907400,DILMA VANA ROUSSEFF,90.09197324414716
2907509,DILMA VANA ROUSSEFF,86.2996205487449
2907558,DILMA VANA ROUSSEFF,83.31832507879334
2907608,DILMA VANA ROUSSEFF,74.40422661870504
2907707,DILMA VANA ROUSSEFF,82.36133404672731
2907806,DILMA VANA ROUSSEFF,73.25013900043244
2907905,DILMA VANA ROUSSEFF,60.41327489041953
2908002,DILMA VANA ROUSSEFF,66.6724997812582
2908101,DILMA VANA ROUSSEFF,69.4319622076276
2908200,DILMA VANA ROUSSEFF,64.23400508706712
2908309,DILMA VANA ROUSSEFF,81.1574994477579
2908408,DILMA VANA ROUSSEFF,64.57251953940695
2908507,DILMA VANA ROUSSEFF,63.38168751663561
2908606,DILMA VANA ROUSSEFF,74.36566041520409
2908705,DILMA VANA ROUSSEFF,74.13417556087998
2908804,DILMA VANA ROUSSEFF,67.90697674418604
2908903,DILMA VANA ROUSSEFF,77.86774628879893
2909000,DILMA VANA ROUSSEFF,57.770605759682226
2909109,DILMA VANA ROUSSEFF,78.16499809910023
2909208,DILMA VANA ROUSSEFF,75.4092168219592
2909307,DILMA VANA ROUSSEFF,68.66716679169792
2909406,DILMA VANA ROUSSEFF,82.13718640838361
2909505,DILMA VANA ROUSSEFF,79.73664959765911
2909604,DILMA VANA ROUSSEFF,80.5823272801055
2909703,DILMA VANA ROUSSEFF,82.93361600636014
2909802,DILMA VANA ROUSSEFF,61.92645298576939
2909901,DILMA VANA ROUSSEFF,78.74977218880991
2910008,DILMA VANA ROUSSEFF,78.40272217774219
2910057,DILMA VANA ROUSSEFF,78.5683714958271
2910107,DILMA VANA ROUSSEFF,74.16122004357298
2910206,DILMA VANA ROUSSEFF,73.73145979703357
2910305,DILMA VANA ROUSSEFF,62.96448367891604
2910404,DILMA VANA ROUSSEFF,65.9712080116837
2910503,DILMA VANA ROUSSEFF,74.31229311722406
2910602,DILMA VANA ROUSSEFF,68.0124018734745
2910701,DILMA VANA ROUSSEFF,78.28562865277986
2910727,DILMA VANA ROUSSEFF,50.80933682373473
2910750,DILMA VANA ROUSSEFF,75.50735530978201
2910776,DILMA VANA ROUSSEFF,65.45988258317026
2910800,DILMA VANA ROUSSEFF,59.26982145460118
2910859,DILMA VANA ROUSSEFF,64.95892286627111
2910909,DILMA VANA ROUSSEFF,59.414076455877094
2911006,DILMA VANA ROUSSEFF,64.93767591475674
2911105,DILMA VANA ROUSSEFF,68.53019877675841
2911204,DILMA VANA ROUSSEFF,59.36920222634509
2911253,DILMA VANA ROUSSEFF,63.09077269317329
2911303,DILMA VANA ROUSSEFF,80.72456231582596
2911402,DILMA VANA ROUSSEFF,85.97918411293217
2911501,DILMA VANA ROUSSEFF,73.27478042659975
2911600,DILMA VANA ROUSSEFF,76.47831800262811
